Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
888.0,43970.0,86999.0,438349.0,879611.0
882.0,43763.0,88219.0,440605.0,877588.0
848.0,44113.0,87699.0,440255.0,880235.0
887.0,43727.0,88370.0,441384.0,882135.0
892.0,44259.0,88488.0,442759.0,882973.0
873.0,44183.0,88679.0,442794.0,885554.0
880.0,44339.0,89205.0,443939.0,885551.0
871.0,44302.0,88613.0,443710.0,887702.0
910.0,44411.0,88585.0,444533.0,888323.0
889.0,44546.0,89036.0,444686.0,892171.0
854.0,44366.0,89471.0,445737.0,893703.0
886.0,44618.0,89280.0,447655.0,893717.0
859.0,44827.0,89094.0,447149.0,894912.0
962.0,44896.0,89768.0,447100.0,895567.0
898.0,44432.0,90161.0,447146.0,896052.0
886.0,44926.0,89485.0,448462.0,897124.0
873.0,44704.0,89774.0,449141.0,898725.0
913.0,44549.0,89502.0,448972.0,900394.0
900.0,44935.0,90121.0,449842.0,899804.0
908.0,44975.0,90130.0,450896.0,901232.0
906.0,44977.0,90526.0,451072.0,903360.0
953.0,44970.0,90367.0,451100.0,901173.0
895.0,45347.0,90271.0,451707.0,903229.0
959.0,44975.0,89874.0,453074.0,904953.0
882.0,45481.0,90323.0,452572.0,904371.0
905.0,45449.0,90620.0,454054.0,903376.0
870.0,45176.0,90756.0,453198.0,905360.0
878.0,45391.0,91031.0,453207.0,909022.0
906.0,45312.0,91094.0,453835.0,907480.0
983.0,45494.0,90920.0,454122.0,908728.0
905.0,45452.0,91181.0,455219.0,910449.0
943.0,45444.0,91202.0,455577.0,909914.0
922.0,45614.0,91344.0,456239.0,910673.0
917.0,45306.0,91276.0,454016.0,912762.0
971.0,45551.0,91615.0,456089.0,911415.0
877.0,45538.0,90852.0,455347.0,911390.0
893.0,45828.0,91041.0,457248.0,912442.0
917.0,45337.0,91339.0,457376.0,913553.0
865.0,45855.0,90827.0,457331.0,914016.0
907.0,45889.0,92317.0,456834.0,915941.0
845.0,45608.0,91823.0,457287.0,917319.0
870.0,46303.0,91388.0,458965.0,913459.0
955.0,45913.0,91356.0,458306.0,916264.0
937.0,45698.0,91364.0,459243.0,916932.0
926.0,45929.0,92250.0,459140.0,917072.0
891.0,45637.0,91953.0,459010.0,918344.0
921.0,45807.0,91533.0,458181.0,916680.0
895.0,46169.0,91226.0,459855.0,917862.0
891.0,46005.0,91406.0,458033.0,917631.0
909.0,45469.0,91524.0,459898.0,919027.0
921.0,45961.0,91993.0,459083.0,919789.0
906.0,46058.0,91495.0,459108.0,919158.0
914.0,46254.0,91310.0,459813.0,919243.0
928.0,46166.0,91824.0,461121.0,919768.0
953.0,46047.0,92679.0,460611.0,919173.0
936.0,45998.0,92546.0,459469.0,919644.0
894.0,46174.0,92255.0,459577.0,921487.0
984.0,45951.0,92371.0,460269.0,924144.0
930.0,46400.0,91379.0,461282.0,922707.0
896.0,45930.0,91983.0,461120.0,922641.0
914.0,46064.0,92038.0,459684.0,922379.0
922.0,46488.0,92653.0,461729.0,924309.0
923.0,45836.0,92417.0,460369.0,923990.0
911.0,46060.0,92602.0,460669.0,922043.0
895.0,45765.0,92552.0,461734.0,923845.0
963.0,46621.0,92147.0,461035.0,922890.0
925.0,46318.0,91799.0,461567.0,921395.0
929.0,46647.0,92527.0,461172.0,925377.0
957.0,45809.0,92321.0,461606.0,924511.0
927.0,45762.0,92254.0,461003.0,922770.0
891.0,46046.0,92624.0,462022.0,921462.0
949.0,45886.0,92368.0,460840.0,923921.0
912.0,46160.0,92806.0,461766.0,924285.0
897.0,46029.0,92698.0,462474.0,925746.0
962.0,46483.0,92706.0,461144.0,924987.0
901.0,46278.0,92256.0,462218.0,923447.0
922.0,46353.0,92496.0,461965.0,925104.0
990.0,45716.0,92381.0,461051.0,924986.0
884.0,46119.0,92617.0,461032.0,924089.0
940.0,46255.0,91840.0,461442.0,923807.0
905.0,46246.0,92387.0,461859.0,923380.0
893.0,46307.0,92543.0,462553.0,924904.0
960.0,46157.0,92614.0,461610.0,924434.0
